             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
   131.247.67.45|     6|     2016-03-04 15:57:25|     2016-03-04 15:57:35|        56|      2184|   2381475|
   131.247.67.45|     6|     2016-03-04 15:57:53|     2016-03-04 15:57:57|        33|       275|     34373|
   131.247.67.45|     6|     2016-03-04 15:58:01|     2016-03-04 15:58:07|        47|      3564|   4172005|
   131.247.67.45|     6|     2016-03-04 15:58:10|     2016-03-04 15:58:16|        38|       758|    709496|
   131.247.67.45|     6|     2016-03-04 15:58:25|     2016-03-04 15:58:31|        39|       741|    671445|
   131.247.67.45|     6|     2016-03-04 15:58:32|     2016-03-04 15:58:40|        41|      1882|   1997213|
   131.247.67.45|     6|     2016-03-04 15:58:49|     2016-03-04 15:58:56|        34|       629|     57699|
   131.247.67.45|     6|     2016-03-04 15:58:56|     2016-03-04 15:59:04|        46|       823|    605904|
   131.247.67.45|     6|     2016-03-04 15:59:04|     2016-03-04 15:59:12|        38|       565|    404729|
   131.247.67.45|     6|     2016-03-04 15:59:20|     2016-03-04 15:59:27|        34|       867|    867538|
   131.247.67.45|     6|     2016-03-04 15:59:23|     2016-03-04 15:59:28|        46|       692|    513618|
   131.247.67.45|     6|     2016-03-04 15:59:52|     2016-03-04 15:59:59|        37|      1368|   1472920|
    172.17.0.143|     6|     2016-03-04 15:29:03|     2016-03-04 15:29:04|        62|        62|      2604|
    172.17.0.143|     6|     2016-03-04 15:29:03|     2016-03-04 15:29:04|        98|        98|      4116|
    172.17.0.143|     6|     2016-03-04 15:29:03|     2016-03-04 15:29:04|       111|       111|      4662|
    172.18.0.226|     6|     2016-03-04 15:29:35|     2016-03-04 15:29:35|       100|       146|      6132|
    172.18.0.226|     6|     2016-03-04 15:29:47|     2016-03-04 15:29:47|        53|        53|      2226|
    172.18.0.226|     6|     2016-03-04 15:29:47|     2016-03-04 15:29:47|        47|        47|      1974|
    172.18.0.226|     6|     2016-03-04 15:29:47|     2016-03-04 15:29:47|        53|        53|      2226|
